#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
345.2321  +30.1569  N7457-010  23 00 55.7  +30 09 24.9   948.64  19.84  Simbad
345.2333  +30.1556  N7457-011  23 00 56.0  +30 09 20.3   942.04  19.77  Simbad
345.2337  +30.1632  N7457-012  23 00 56.1  +30 09 47.6   907.74  19.68  Simbad
345.2342  +30.1463  N7457-013  23 00 56.2  +30 08 46.6   885.24  19.57  Simbad
345.2350  +30.1526  N7457-014  23 00 56.4  +30 09 09.2   905.94  19.61  Simbad
345.2354  +30.1414  N7457-015  23 00 56.5  +30 08 29.0   890.34  19.21  Simbad
345.2362  +30.1379  N7457-016  23 00 56.7  +30 08 16.6   915.64  20.56  Simbad
345.2371  +30.1558  N7457-017  23 00 56.9  +30 09 21.0   927.54  19.57  Simbad
345.2375  +30.1619  N7457-018  23 00 57.0  +30 09 42.7   918.24  20.02  Simbad
345.2379  +30.1516  N7457-019  23 00 57.1  +30 09 05.6   960.84  19.81  Simbad
345.2383  +30.1556  N7457-020  23 00 57.2  +30 09 20.3   955.44  19.42  Simbad
345.2383  +30.1371  N7457-021  23 00 57.2  +30 08 13.7   859.84  19.68  Simbad
345.2383  +30.1702  N7457-022  23 00 57.2  +30 10 12.8   918.24  19.91  Simbad
345.2387  +30.1545  N7457-023  23 00 57.3  +30 09 16.3   932.94  19.18  Simbad
345.2387  +30.1520  N7457-024  23 00 57.3  +30 09 07.1   880.14  19.40  Simbad
345.2396  +30.1314  N7457-025  23 00 57.5  +30 07 52.9   826.14  20.18  Simbad
345.2404  +30.1525  N7457-026  23 00 57.7  +30 09 09.0   975.94  20.48  Simbad
345.2417  +30.1425  N7457-027  23 00 58.0  +30 08 33.1   870.94  19.31  Simbad
345.2417  +30.1526  N7457-028  23 00 58.0  +30 09 09.5   969.64  19.34  Simbad
345.2421  +30.1599  N7457-029  23 00 58.1  +30 09 35.6   993.14  19.17  Simbad
345.2425  +30.1692  N7457-030  23 00 58.2  +30 10 09.3   906.84  20.48  Simbad
345.2429  +30.1584  N7457-031  23 00 58.3  +30 09 30.3   827.54  18.76  Simbad
345.2437  +30.1429  N7457-032  23 00 58.5  +30 08 34.3   824.74  99.99  Simbad
345.2446  +30.1371  N7457-033  23 00 58.7  +30 08 13.7   768.24  19.20  Simbad
345.2450  +30.1406  N7457-034  23 00 58.8  +30 08 26.3   849.44  19.51  Simbad
345.2450  +30.1533  N7457-035  23 00 58.8  +30 09 11.8  1039.14  19.81  Simbad
345.2454  +30.1334  N7457-036  23 00 58.9  +30 08 00.3   845.34  20.55  Simbad
345.2454  +30.1597  N7457-037  23 00 58.9  +30 09 35.0   958.94  19.40  Simbad
345.2454  +30.1718  N7457-038  23 00 58.9  +30 10 18.6   899.44  19.76  Simbad
345.2454  +30.1637  N7457-039  23 00 58.9  +30 09 49.3   971.44  19.30  Simbad
345.2462  +30.1572  N7457-040  23 00 59.1  +30 09 25.8   863.94  19.27  Simbad
345.2471  +30.1286  N7457-041  23 00 59.3  +30 07 43.0   819.54  19.68  Simbad
345.2475  +30.1503  N7457-042  23 00 59.4  +30 09 01.1   843.04  19.13  Simbad
345.2475  +30.1354  N7457-043  23 00 59.4  +30 08 07.5   745.14  19.66  Simbad
345.2487  +30.1360  N7457-044  23 00 59.7  +30 08 09.7   844.34  18.88  Simbad
345.2492  +30.1539  N7457-045  23 00 59.8  +30 09 13.9   870.24  19.99  Simbad
345.2492  +30.1606  N7457-046  23 00 59.8  +30 09 38.3   941.64  19.74  Simbad
345.2496  +30.1395  N7457-047  23 00 59.9  +30 08 22.2   822.34  20.19  Simbad
345.2500  +30.1413  N7457-048  23 01 00.0  +30 08 28.6   847.24  19.65  Simbad
345.2500  +30.1432  N7457-049  23 01 00.0  +30 08 35.5   905.34  20.75  Simbad
345.2508  +30.1322  N7457-050  23 01 00.2  +30 07 55.9   821.94  19.57  Simbad
345.2508  +30.1565  N7457-051  23 01 00.2  +30 09 23.4   913.84  19.47  Simbad
345.2508  +30.1520  N7457-052  23 01 00.2  +30 09 07.3   814.74  20.20  Simbad
345.2521  +30.1667  N7457-053  23 01 00.5  +30 10 00.0   891.84  19.96  Simbad
345.2521  +30.1500  N7457-054  23 01 00.5  +30 09 00.0   822.74  19.09  Simbad
345.2525  +30.1491  N7457-055  23 01 00.6  +30 08 56.7   897.34  19.03  Simbad
345.2529  +30.1536  N7457-056  23 01 00.7  +30 09 12.8   921.04  19.92  Simbad
345.2529  +30.1499  N7457-057  23 01 00.7  +30 08 59.7   803.44  18.92  Simbad
345.2529  +30.1556  N7457-058  23 01 00.7  +30 09 20.0   865.54  20.14  Simbad
345.2529  +30.1381  N7457-059  23 01 00.7  +30 08 17.3   857.34  19.32  Simbad
345.2533  +30.1392  N7457-060  23 01 00.8  +30 08 21.3   778.44  19.56  Simbad
345.2533  +30.1471  N7457-061  23 01 00.8  +30 08 49.5   861.34  19.60  Simbad
345.2542  +30.1282  N7457-062  23 01 01.0  +30 07 41.5   761.24  19.85  Simbad
345.2542  +30.1367  N7457-063  23 01 01.0  +30 08 12.3   767.54  19.60  Simbad
345.2546  +30.1391  N7457-064  23 01 01.1  +30 08 20.6   764.04  20.91  Simbad
345.2554  +30.1474  N7457-065  23 01 01.3  +30 08 50.6   759.84  18.93  Simbad
345.2554  +30.1505  N7457-066  23 01 01.3  +30 09 01.8   880.24  19.16  Simbad
345.2554  +30.1438  N7457-067  23 01 01.3  +30 08 37.8   774.84  18.89  Simbad
345.2558  +30.1377  N7457-068  23 01 01.4  +30 08 15.8   796.94  19.90  Simbad
345.2558  +30.1359  N7457-069  23 01 01.4  +30 08 09.2   805.04  20.23  Simbad
345.2562  +30.1515  N7457-070  23 01 01.5  +30 09 05.3   844.44  19.17  Simbad
345.2571  +30.1190  N7457-071  23 01 01.7  +30 07 08.5   774.74  19.99  Simbad
345.2575  +30.1305  N7457-072  23 01 01.8  +30 07 49.9   809.34  19.98  Simbad
345.2575  +30.1422  N7457-073  23 01 01.8  +30 08 31.8   747.14  20.21  Simbad
345.2579  +30.1319  N7457-074  23 01 01.9  +30 07 55.0   811.94  20.83  Simbad
345.2579  +30.1195  N7457-075  23 01 01.9  +30 07 10.1   826.34  19.47  Simbad
345.2579  +30.1336  N7457-076  23 01 01.9  +30 08 00.8   810.04  19.76  Simbad
345.2579  +30.1404  N7457-077  23 01 01.9  +30 08 25.5   743.04  19.23  Simbad
345.2583  +30.1293  N7457-078  23 01 02.0  +30 07 45.6   783.34  20.08  Simbad
345.2583  +30.1516  N7457-079  23 01 02.0  +30 09 05.8   784.74  20.03  Simbad
345.2583  +30.1350  N7457-080  23 01 02.0  +30 08 06.1   827.94  20.18  Simbad
345.2583  +30.1546  N7457-081  23 01 02.0  +30 09 16.5   868.54  19.04  Simbad
345.2587  +30.1494  N7457-082  23 01 02.1  +30 08 58.0   775.54  19.02  Simbad
345.2596  +30.1407  N7457-083  23 01 02.3  +30 08 26.7   756.54  19.24  Simbad
345.2600  +30.1673  N7457-084  23 01 02.4  +30 10 02.4   862.34  20.05  Simbad
345.2600  +30.1314  N7457-085  23 01 02.4  +30 07 53.2   935.44  19.19  Simbad
345.2604  +30.1333  N7457-086  23 01 02.5  +30 08 00.0   812.74  19.77  Simbad
345.2608  +30.1521  N7457-087  23 01 02.6  +30 09 07.4   784.34  19.97  Simbad
345.2608  +30.1385  N7457-088  23 01 02.6  +30 08 18.7   731.04  19.34  Simbad
345.2612  +30.1393  N7457-089  23 01 02.7  +30 08 21.6   782.04  19.08  Simbad
345.2621  +30.1468  N7457-090  23 01 02.9  +30 08 48.6   768.44  19.30  Simbad
345.2625  +30.1226  N7457-091  23 01 03.0  +30 07 21.2   714.54  18.96  Simbad
345.2629  +30.1341  N7457-092  23 01 03.1  +30 08 02.6   757.34  19.75  Simbad
345.2633  +30.1414  N7457-093  23 01 03.2  +30 08 29.1   804.94  19.77  Simbad
345.2642  +30.1355  N7457-094  23 01 03.4  +30 08 07.7   785.74  19.28  Simbad
345.2654  +30.1374  N7457-095  23 01 03.7  +30 08 14.8   735.94  18.77  Simbad
345.2667  +30.1539  N7457-096  23 01 04.0  +30 09 13.9   781.94  18.72  Simbad
345.2671  +30.1399  N7457-097  23 01 04.1  +30 08 23.6   767.24  20.23  Simbad
345.2675  +30.1302  N7457-098  23 01 04.2  +30 07 48.8   736.54  19.65  Simbad
345.2679  +30.1340  N7457-099  23 01 04.3  +30 08 02.5   710.04  19.10  Simbad
345.2679  +30.1397  N7457-100  23 01 04.3  +30 08 23.1   734.74  19.94  Simbad
345.2687  +30.1224  N7457-101  23 01 04.5  +30 07 20.8   743.74  19.59  Simbad
345.2687  +30.1359  N7457-102  23 01 04.5  +30 08 09.2   784.34  19.38  Simbad
345.2692  +30.1410  N7457-103  23 01 04.6  +30 08 27.7   747.24  20.20  Simbad
